Image Number,Value,Units,Notes
1,013691,m3,""
2,598.709,m³,""
3,1011679,m³,Meter reading is clear and unobstructed.
4,0006732,m³,Clear reading from the meter
5,000346,m³,""
6,008758,m³,The reading on the water meter is clear and visible.
7,00491141,m³,The meter reading is clear and readable.
8,0011062,m³,Reading is clear and unobstructed.
9,0346210,m³,The meter is clear and legible.
10,008147,m³,Water meter reading is clear and unobstructed.
11,8454.35,m3,"Some debris and scratches visible on the meter glass, but the reading is still clear."
12,86,m³,The water meter reading is clearly visible.
13,006299,m³,The reading is clear and unobstructed.
14,0013182,cubic meters,The water meter reading is clear and unobstructed.
15,0501616,kilolitres,Reading is clear and legible.
16,0008629,m³,Reading is clear and legible.
17,04368,m³,The water meter reading is clear and legible.
18,2728,m³,"The meter is slightly obscured by dirt and a scratch on the glass, but the reading is still legible."
19,067098,m^3,""
20,0032830,m³,""
21,014813,m³,"The meter reading is partially obscured by dirt and a scratch, but the reading is still discernible."
22,8082.7,m³,""
23,09121118,m³,The meter is slightly obscured but the reading is still legible.
24,00058.8,m³,The reading is clear and unobstructed.
25,1194206,m³,The reading is clear and visible.
26,0213124,cubic meters,The water meter reading is clear and unobscured.
27,0009380,m³,The reading is clear and unobstructed.
28,03738,cubic meters,The meter reading is clear and visible.
29,0031738,m³,The meter reading is clear and understandable.
